201801,913.57
201802,857.06
201803,871.09
201804,875.95
201805,879.66
201806,818.22
201807,775.52
201808,816.97
201809,822.27
201810,648.67
201811,695.76
201812,675.65
201901,716.86
201902,731.25
201903,729.31
201904,754.74
201905,696.47
201906,690.53
201907,630.18
201908,610.55
201909,621.76
201910,658.52
201911,632.99
201912,669.83
202001,642.48
202002,610.73
202003,569.07
202004,645.18
202005,713.68
202006,737.97
202007,815.3
202008,848.24
202009,848.15
202010,792.65
202011,886.11
202012,968.42
202101,928.73
202102,913.94
202103,956.17
202104,983.45
202105,981.78
202106,1029.96
202107,1031.14
202108,1038.33
202109,1003.27
202110,992.33
202111,965.63
202112,1033.98
202201,872.87
202202,881.07
202203,944.53
202204,904.75
202205,893.36
202206,745.44
202207,803.62
202208,807.04
202209,672.65
202210,695.33
202211,729.54
202212,679.29
202301,740.49
202302,791.6
202303,847.52
202304,842.83
202305,856.94
202306,868.24
202307,935.97
202308,928.4
202309,841.02
202310,736.1
202311,831.68
